mu,metric,count,final_displacement_mean,final_displacement_std,final_displacement_median,final_displacement_min,final_displacement_max,final_path_length_mean,final_path_length_std,final_path_length_median,final_path_length_min,final_path_length_max,final_orientation_change_deg_mean,final_orientation_change_deg_std,final_orientation_change_deg_median,final_orientation_change_deg_min,final_orientation_change_deg_max
0.0,MinFSA,405,0.04020508624185085,0.14024531414956523,0.02982295742465023,0.0002299174906352209,2.780015492838035,0.045681067658102516,0.1545347199230291,0.03157059967430843,0.0004563287572067565,3.0072716385474543,4.7332705942927635,9.836439372115896,0.7698945056026409,0.0014819080783013796,82.90002652833611
0.0,MaxFSA,405,0.20956755343699704,1.2493865275852911,0.04515172755831159,0.0028633915205574004,15.069023264440961,0.249807232641903,1.3171321108858094,0.04515569013387495,0.0037174716015274142,15.45034671911019,8.09423017202534,14.276865330052281,6.415413682851961,0.012680493864833702,152.472368328667
0.0,MinFTA,405,0.1259747084267784,1.2594956833354134,0.028312826447610247,0.00014905683479796643,21.71849826540018,0.13299136694786812,1.2842739673441872,0.03120288072148781,0.0003226266497871497,21.97791437511197,4.692922637935559,9.067126457894057,1.014600111264733,0.0014819080783013796,98.21288139486583
0.0,MaxFTA,405,0.2780690817985468,1.785947046670498,0.04514957807942395,0.00032551082658645054,27.194123190736363,0.3034519457564123,1.8393974430543674,0.04515399939372277,0.000412608303529684,27.442314198194563,8.840839745949623,15.807755769085379,6.241647741618469,0.0067973358723816685,174.31122931409487
0.1,MinFSA,405,0.010500197889308251,0.016306059805045896,0.0006342385054504594,3.201562118728296e-06,0.079845027588714,0.012758764397315606,0.021015029728161307,0.0013478659600766802,2.369448482294495e-05,0.20591870985612423,3.801746013638413,7.844766993420988,0.3876187352399662,0.0015804957566928955,68.19938705637657
0.1,MaxFSA,405,0.03535926087377231,0.06676163863449215,0.04296505114846249,7.79951280530185e-06,1.2944954578557952,0.05701910987341719,0.15369411452252832,0.04515197368871249,3.885735694000777e-05,1.9566693042392476,5.939296493597705,7.067325289968234,6.156548914611593,0.004705681480137476,128.1899860803071
0.1,MinFTA,405,0.0111822575951779,0.017731178881654274,0.0008516304421519933,3.201562118728296e-06,0.1098085391366719,0.014465026999146879,0.029314771276659855,0.0015470400998479036,2.369448482294495e-05,0.36853311299119096,3.4986313800628377,5.48710963295192,0.5519246052653672,0.0010844935186791935,31.596036256806624
0.1,MaxFTA,405,0.06813534676569039,0.7223803512179789,0.03696385709409252,2.6724707669127335e-05,14.493029870137319,0.07883590379592634,0.7409922235317952,0.04279888939109202,9.968817642083765e-05,14.64361654830749,5.981786146036897,7.875814746038754,5.665075368122194,0.00479368334234549,124.41355564374201
0.2,MinFSA,405,0.008843239017205498,0.014607599253563057,0.0003651824886272622,2.6925824035570598e-06,0.06621029309029298,0.010153072453048992,0.015656847146236975,0.0009388199927434598,2.3625702321690227e-05,0.07648042987743064,3.080152862360502,6.074262579715062,0.23118185491280618,0.0008726677669337993,48.4494839655971
0.2,MaxFSA,405,0.031858233564031585,0.04102562234167619,0.04056052843171548,4.089755493914925e-06,0.577143954539786,0.04675547863478257,0.13226467041042742,0.043172623131189906,3.2913684608162134e-05,1.7180354884612754,5.789060505511036,6.258183894485799,5.956956803311961,0.0030069190277542093,87.2181424392998
0.2,MinFTA,405,0.009533171440589917,0.016293927788610926,0.00042669964896282256,2.6925824035570598e-06,0.12012811594108821,0.011075065420936744,0.017544239874772775,0.0008057841284824169,2.3625702321690227e-05,0.12013304707967534,2.936593856880952,4.737807340813096,0.2673350842911923,0.0011514649906038258,29.63414897514839
0.2,MaxFTA,405,0.027511299173629447,0.03398036098335338,0.03331422161873965,2.4552036575389627e-05,0.577143954539786,0.032543837511671586,0.056489133130968726,0.0389346948894746,0.00010223824688528186,1.0202804668776373,5.280549230874125,5.527529547023427,5.2478400207681455,0.0034646362845514346,71.31635886868932
0.4,MinFSA,405,0.00709917153557134,0.013012536123428732,0.00024911766296270766,2.5495097567907774e-06,0.07684388139020892,0.008051505166762805,0.013925311338668372,0.000607405818872626,1.770617293934516e-05,0.10141287391553452,2.420270312308649,5.209739176796767,0.11705437709078297,0.001089663715527498,47.285689244374225
0.4,MaxFSA,405,0.027731412529690427,0.025073923879606344,0.03643703541041725,3.4077118422712796e-06,0.24169316779232713,0.03481326120293471,0.05698723981635725,0.04057700819691291,3.321579419735584e-05,0.9269634441113915,5.126406346130543,4.154861830675183,5.202073577926813,0.0029014494668902044,38.48188289208304
0.4,MinFTA,405,0.007642892127702182,0.014420325515330857,0.00022451411982321958,2.5495097567907774e-06,0.07926888154111929,0.008865792552169115,0.015317430644741616,0.0004732431583561767,1.770617293934516e-05,0.10141287391553452,2.3577342751548103,4.138954190029803,0.1705368987068479,0.001529210611350809,26.870098372322527
0.4,MaxFTA,405,0.0244658202440413,0.02236099935024319,0.02725761647507905,3.192177939939489e-06,0.23249254199666816,0.02864206713551733,0.04910146424820567,0.032130523060737284,6.398403282748825e-05,0.9269634441113915,4.972624856381045,4.816143401896309,4.8330843187096395,0.001905986515642983,38.48188289208304
1.0,MinFSA,405,0.005219568789206595,0.010846150919208116,0.0001517689444517579,2.343074902789621e-06,0.049406060952984304,0.006267932672032486,0.0124122854244781,0.000426269861335823,1.6609494859224802e-05,0.08702444886231597,1.7162144723467432,4.110461978382104,0.07447861764919109,0.0004883734515419941,42.56576131522989
1.0,MaxFSA,405,0.022797380660274688,0.022181711879381547,0.01757767123060461,3.407345007483857e-06,0.2077972290352906,0.029576493489548668,0.05260715543514285,0.027629465962324167,3.697483269123844e-05,0.777570439007873,4.585852462943533,4.28724056736688,4.367694129168502,0.0006943626167307568,45.94280201786066
1.0,MinFTA,405,0.005253000468255478,0.011494179089484429,0.00013104194939025818,2.738612787531103e-06,0.09754232227874217,0.006331070204695848,0.012627558800644544,0.00038412361254125984,1.6609494859224802e-05,0.10088564622372738,1.9965523058758656,4.33743206331591,0.09002495515154896,0.0019404907692256292,28.532559873951403
1.0,MaxFTA,405,0.02093312175692519,0.022167897367460918,0.01347060753377141,6.1296410987925725e-06,0.2077972290352906,0.02473562461638644,0.03597911089354295,0.022714383379216888,6.534107141945127e-05,0.6073407011188481,4.243421948640874,4.471182715437644,3.6909371402646083,0.0023144398923639095,45.94280201786066
