packing_id,path,seed_group,N,alpha_nominal,L_mean,d,alpha_actual,n_contacts,Z,R_over_l,ebar0,ent_pairs,gbar_t,gbar_r,astar_finite
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1/x_relaxed.txt","37,178,56",500,50,1.0,0.02,50.0,1263,5.052,0.48052,0.151686,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1/x_relaxed.txt","37,178,56",500,100,1.0,0.01,100.0,1347,5.388,0.32512,0.263742,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1/x_relaxed.txt","37,178,56",500,150,1.0,0.006666666666666667,150.0,1306,5.224,0.25344,0.325333,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1/x_relaxed.txt","37,178,56",500,300,1.0,0.0033333333333333335,300.0,1082,4.328,0.14531,0.409022,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1/x_relaxed.txt","37,178,56",500,500,1.0,0.002,500.0,958,3.832,0.09455,0.442901,124750,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1/x_relaxed.txt","37,178,56",200,50,1.0,0.02,50.0,459,4.59,0.37282,0.221417,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1/x_relaxed.txt","37,178,56",200,100,1.0,0.01,100.0,462,4.62,0.24766,0.326767,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1/x_relaxed.txt","37,178,56",200,150,1.0,0.006666666666666667,150.0,424,4.24,0.17718,0.376303,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1/x_relaxed.txt","37,178,56",200,300,1.0,0.0033333333333333335,300.0,409,4.09,0.09698,0.435119,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1/x_relaxed.txt","37,178,56",200,500,1.0,0.002,500.0,365,3.65,0.06509,0.458068,19900,,,
"37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0010-Scale1","assets/initial-configs/37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0010-Scale1/x_relaxed.txt","37,178,56",200,10,1.0,0.1,10.0,337,3.37,0.81164,0.044117,19900,,,
"37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0020-Scale1","assets/initial-configs/37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0020-Scale1/x_relaxed.txt","37,178,56",200,20,1.0,0.05,20.0,438,4.38,0.58543,0.098067,19900,,,
"37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0075-Scale1","assets/initial-configs/37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0075-Scale1/x_relaxed.txt","37,178,56",200,75,1.0,0.013333333333333334,75.0,473,4.73,0.28121,0.288126,19900,,,
"37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0200-Scale1","assets/initial-configs/37,178,56/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0200-Scale1/x_relaxed.txt","37,178,56",200,200,1.0,0.005,200.0,417,4.17,0.15042,0.398339,19900,,,
"37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0010-Scale1","assets/initial-configs/37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0010-Scale1/x_relaxed.txt","37,178,56",500,10,1.0,0.1,10.0,900,3.6,0.96302,0.027812,124750,,,
"37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0020-Scale1","assets/initial-configs/37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0020-Scale1/x_relaxed.txt","37,178,56",500,20,1.0,0.05,20.0,1085,4.34,0.72867,0.06356,124750,,,
"37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0075-Scale1","assets/initial-configs/37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0075-Scale1/x_relaxed.txt","37,178,56",500,75,1.0,0.013333333333333334,75.0,1296,5.184,0.38566,0.213684,124750,,,
"37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0200-Scale1","assets/initial-configs/37,178,56/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0200-Scale1/x_relaxed.txt","37,178,56",500,200,1.0,0.005,200.0,1190,4.76,0.20097,0.367401,124750,,,
"37,178,56/2025-11-05_21_EntangledRelaxedPacking-N0200-AR0010-Scale1","assets/initial-configs/37,178,56/2025-11-05_21_EntangledRelaxedPacking-N0200-AR0010-Scale1/x_relaxed.txt","37,178,56",200,10,1.0,0.1,10.0,349,3.49,0.7914,0.042389,19900,,,
"37,178,56/2025-11-05_21_EntangledRelaxedPacking-N0200-AR1000-Scale1","assets/initial-configs/37,178,56/2025-11-05_21_EntangledRelaxedPacking-N0200-AR1000-Scale1/x_relaxed.txt","37,178,56",200,1000,1.0,0.001,1000.0,372,3.72,0.03269,0.478526,19900,,,
"6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1","assets/initial-configs/6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1/x_relaxed.txt","6,7,8",500,50,1.0,0.02,50.0,1303,5.212,0.48497,0.149853,124750,,,
"6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1","assets/initial-configs/6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1/x_relaxed.txt","6,7,8",500,100,1.0,0.01,100.0,1318,5.272,0.34533,0.251444,124750,,,
"6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1","assets/initial-configs/6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1/x_relaxed.txt","6,7,8",500,150,1.0,0.006666666666666667,150.0,1236,4.944,0.26041,0.31884,124750,,,
"6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1","assets/initial-configs/6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1/x_relaxed.txt","6,7,8",500,300,1.0,0.0033333333333333335,300.0,1081,4.324,0.15436,0.406511,124750,,,
"6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1","assets/initial-configs/6,7,8/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1/x_relaxed.txt","6,7,8",500,500,1.0,0.002,500.0,1018,4.072,0.10075,0.440923,124750,,,
"6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1","assets/initial-configs/6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1/x_relaxed.txt","6,7,8",200,50,1.0,0.02,50.0,462,4.62,0.36917,0.221741,19900,,,
"6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1","assets/initial-configs/6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1/x_relaxed.txt","6,7,8",200,100,1.0,0.01,100.0,437,4.37,0.23856,0.325555,19900,,,
"6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1","assets/initial-configs/6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1/x_relaxed.txt","6,7,8",200,150,1.0,0.006666666666666667,150.0,426,4.26,0.1726,0.380669,19900,,,
"6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1","assets/initial-configs/6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1/x_relaxed.txt","6,7,8",200,300,1.0,0.0033333333333333335,300.0,391,3.91,0.10148,0.436702,19900,,,
"6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1","assets/initial-configs/6,7,8/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1/x_relaxed.txt","6,7,8",200,500,1.0,0.002,500.0,375,3.75,0.06615,0.458427,19900,,,
"6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0010-Scale1","assets/initial-configs/6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0010-Scale1/x_relaxed.txt","6,7,8",200,10,1.0,0.1,10.0,335,3.35,0.82157,0.043448,19900,,,
"6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0020-Scale1","assets/initial-configs/6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0020-Scale1/x_relaxed.txt","6,7,8",200,20,1.0,0.05,20.0,422,4.22,0.59271,0.097239,19900,,,
"6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0075-Scale1","assets/initial-configs/6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0075-Scale1/x_relaxed.txt","6,7,8",200,75,1.0,0.013333333333333334,75.0,476,4.76,0.28702,0.283957,19900,,,
"6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0200-Scale1","assets/initial-configs/6,7,8/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0200-Scale1/x_relaxed.txt","6,7,8",200,200,1.0,0.005,200.0,405,4.05,0.14709,0.402101,19900,,,
"6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0010-Scale1","assets/initial-configs/6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0010-Scale1/x_relaxed.txt","6,7,8",500,10,1.0,0.1,10.0,898,3.592,0.97809,0.027564,124750,,,
"6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0020-Scale1","assets/initial-configs/6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0020-Scale1/x_relaxed.txt","6,7,8",500,20,1.0,0.05,20.0,1113,4.452,0.72202,0.063793,124750,,,
"6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0075-Scale1","assets/initial-configs/6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0075-Scale1/x_relaxed.txt","6,7,8",500,75,1.0,0.013333333333333334,75.0,1290,5.16,0.40521,0.199513,124750,,,
"6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0200-Scale1","assets/initial-configs/6,7,8/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0200-Scale1/x_relaxed.txt","6,7,8",500,200,1.0,0.005,200.0,1178,4.712,0.20242,0.36416,124750,,,
"6,7,8/2025-11-05_21_EntangledRelaxedPacking-N0200-AR0010-Scale1","assets/initial-configs/6,7,8/2025-11-05_21_EntangledRelaxedPacking-N0200-AR0010-Scale1/x_relaxed.txt","6,7,8",200,10,1.0,0.1,10.0,346,3.46,0.79704,0.044608,19900,,,
"6,7,8/2025-11-05_21_EntangledRelaxedPacking-N0200-AR1000-Scale1","assets/initial-configs/6,7,8/2025-11-05_21_EntangledRelaxedPacking-N0200-AR1000-Scale1/x_relaxed.txt","6,7,8",200,1000,1.0,0.001,1000.0,377,3.77,0.03453,0.478561,19900,,,
"919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1","assets/initial-configs/919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1/x_relaxed.txt","919,461,568",500,50,1.0,0.02,50.0,1220,4.88,0.47753,0.156628,124750,,,
"919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1","assets/initial-configs/919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1/x_relaxed.txt","919,461,568",500,100,1.0,0.01,100.0,1270,5.08,0.32285,0.266426,124750,,,
"919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1","assets/initial-configs/919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1/x_relaxed.txt","919,461,568",500,150,1.0,0.006666666666666667,150.0,1216,4.864,0.24143,0.334759,124750,,,
"919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1","assets/initial-configs/919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1/x_relaxed.txt","919,461,568",500,300,1.0,0.0033333333333333335,300.0,1083,4.332,0.13931,0.413368,124750,,,
"919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1","assets/initial-configs/919,461,568/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1/x_relaxed.txt","919,461,568",500,500,1.0,0.002,500.0,998,3.992,0.09527,0.445384,124750,,,
"919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1","assets/initial-configs/919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1/x_relaxed.txt","919,461,568",200,50,1.0,0.02,50.0,475,4.75,0.36598,0.220885,19900,,,
"919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1","assets/initial-configs/919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1/x_relaxed.txt","919,461,568",200,100,1.0,0.01,100.0,452,4.52,0.23524,0.327813,19900,,,
"919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1","assets/initial-configs/919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1/x_relaxed.txt","919,461,568",200,150,1.0,0.006666666666666667,150.0,425,4.25,0.17489,0.378735,19900,,,
"919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1","assets/initial-configs/919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1/x_relaxed.txt","919,461,568",200,300,1.0,0.0033333333333333335,300.0,409,4.09,0.09786,0.43649,19900,,,
"919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1","assets/initial-configs/919,461,568/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1/x_relaxed.txt","919,461,568",200,500,1.0,0.002,500.0,369,3.69,0.06516,0.458505,19900,,,
"919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0010-Scale1","assets/initial-configs/919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0010-Scale1/x_relaxed.txt","919,461,568",200,10,1.0,0.1,10.0,340,3.4,0.81327,0.043952,19900,,,
"919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0020-Scale1","assets/initial-configs/919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0020-Scale1/x_relaxed.txt","919,461,568",200,20,1.0,0.05,20.0,437,4.37,0.58455,0.099634,19900,,,
"919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0075-Scale1","assets/initial-configs/919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0075-Scale1/x_relaxed.txt","919,461,568",200,75,1.0,0.013333333333333334,75.0,463,4.63,0.29417,0.284749,19900,,,
"919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0200-Scale1","assets/initial-configs/919,461,568/2025-02-18_18_EntangledRelaxedPacking-N0200-AR0200-Scale1/x_relaxed.txt","919,461,568",200,200,1.0,0.005,200.0,421,4.21,0.1453,0.403674,19900,,,
"919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0010-Scale1","assets/initial-configs/919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0010-Scale1/x_relaxed.txt","919,461,568",500,10,1.0,0.1,10.0,904,3.616,0.95383,0.029141,124750,,,
"919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0020-Scale1","assets/initial-configs/919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0020-Scale1/x_relaxed.txt","919,461,568",500,20,1.0,0.05,20.0,1091,4.364,0.71139,0.066278,124750,,,
"919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0075-Scale1","assets/initial-configs/919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0075-Scale1/x_relaxed.txt","919,461,568",500,75,1.0,0.013333333333333334,75.0,1314,5.256,0.38762,0.217133,124750,,,
"919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0200-Scale1","assets/initial-configs/919,461,568/2025-02-18_22_EntangledRelaxedPacking-N0500-AR0200-Scale1/x_relaxed.txt","919,461,568",500,200,1.0,0.005,200.0,1190,4.76,0.19512,0.370875,124750,,,
"919,461,568/2025-11-05_21_EntangledRelaxedPacking-N0200-AR0010-Scale1","assets/initial-configs/919,461,568/2025-11-05_21_EntangledRelaxedPacking-N0200-AR0010-Scale1/x_relaxed.txt","919,461,568",200,10,1.0,0.1,10.0,322,3.22,0.79694,0.043213,19900,,,
"919,461,568/2025-11-05_21_EntangledRelaxedPacking-N0200-AR1000-Scale1","assets/initial-configs/919,461,568/2025-11-05_21_EntangledRelaxedPacking-N0200-AR1000-Scale1/x_relaxed.txt","919,461,568",200,1000,1.0,0.001,1000.0,368,3.68,0.03807,0.478409,19900,,,
